place,cote,yearStart,yearEnd,url
Mauzé-sur-le-Mignon,2 C 2327,1761,1787,https://archives-deux-sevres-vienne.fr/ark:/58825/vta681d378778604ce0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Airvault,2 C 2409,1761,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta27b1102a110eb6be/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Beauvoir-sur-Niort,2 C 2289,1762,1787,https://archives-deux-sevres-vienne.fr/ark:/58825/vta45052c98210a1e6b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chizé,2 C 2427,1762,1762,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4cdca6b5b8d0f3c7/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2398,1763,1771,https://archives-deux-sevres-vienne.fr/ark:/58825/vta0160e9922fe3ddba/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2397,1763,1788,https://archives-deux-sevres-vienne.fr/ark:/58825/vta90ca6cf606adbce9/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,2 C 2372,1764,1784,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad21130ca54f99cfa/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,2 C 2370,1764,1784,https://archives-deux-sevres-vienne.fr/ark:/58825/vta98c62df52bcef13c/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2400,1765,1771,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaa86b44ea249f4816/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Frontenay-Rohan-Rohan,2 C 846,1765,1782,https://archives-deux-sevres-vienne.fr/ark:/58825/vtab6dabc51ce488847/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1503-1,1765,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1894cd50d9f8dc45/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Airvault,2 C 2408,1765,1765,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaf479dca74c0e6acb/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,2 C 2296,1768,1782,https://archives-deux-sevres-vienne.fr/ark:/58825/vta17b2d47b7b642831/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Coulonges-sur-l'Autize,2 C 686,1770,1790,https://archives-deux-sevres-vienne.fr/ark:/58825/vta71431e8e2917791c/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2462,1771,1771,https://archives-deux-sevres-vienne.fr/ark:/58825/vta43f8bee34d4f2637/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
La Mothe-Saint-Héray,2 C 2439,1771,1808,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1d2a5ff3ab168358/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2401,1772,1780,https://archives-deux-sevres-vienne.fr/ark:/58825/vta66bebf7ad17144ce/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Vasles,2 C 3490,1772,1789,https://archives-deux-sevres-vienne.fr/ark:/28387/vta8f5f45c9f099d97b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Argenton-Château,2 C 2413,1772,1793,https://archives-deux-sevres-vienne.fr/ark:/58825/vta7c063ca3edf297ac/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1507,1776,1789,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaa59b69dbc7ddf3d3/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,2 C 2436,1777,1777,https://archives-deux-sevres-vienne.fr/ark:/58825/vta18a3feb9baac7c6b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
La Mothe-Saint-Héray,2 C 2440,1778,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta30fc9d06337a566e/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Couture-d'Argenson,2 C 2315,1780,1786,https://archives-deux-sevres-vienne.fr/ark:/58825/vtab86a6c397532d2e8/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
